Business Name,Address,City,Phone Number,Website,Category / Cuisine,Source,Confidence Score (Independent),LastName,Email
The Cornerstone,"1 Wyndham Street North, Guelph",Guelph,(519) 824-7723,https://thecornerstoneguelph.ca/,american,OpenStreetMap,1,Unknown1,Unknown1@gmail.com
Selvi Cakes,45 George Robinson Dr Brampton ON L6Y 2E3,Guelph,(905) 451-1546,http://www.facebook.com/801956223229849,,YellowPages.ca,1,Unknown2,Unknown2@gmail.com
Origen Bistro | Bakery,Unknown ON,Guelph,(905) 226-1090,,,YellowPages.ca,1,Unknown3,Unknown3@gmail.com
Minnie's little Bakery,23 Foliage Dr Brampton ON L7A 4M7,Guelph,(647) 308-0230,,,YellowPages.ca,1,Unknown4,Unknown4@gmail.com
Touche Bakery Inc.,6-2110 Williams Pky Brampton ON L6S 5X6,Guelph,(647) 484-7500,,,YellowPages.ca,1,Unknown5,Unknown5@gmail.com
Sweet Retreat Cakery,70 Foster Cres Brampton ON L6V 3M8,Guelph,(647) 990-2209,http://www.facebook.com/435247386492426,,YellowPages.ca,1,Unknown6,Unknown6@gmail.com
Swirls Bake Shop,17 Queen N Mississauga ON L5N 1A2,Guelph,(905) 285-0991,,,YellowPages.ca,1,Unknown7,Unknown7@gmail.com
Lailas Cheesecake,4155 Fairview St Burlington ON L7L 2A4,Guelph,(905) 634-2253,,,YellowPages.ca,1,Unknown8,Unknown8@gmail.com
Dolcezza Custom Cakes,71 Main St N Brampton ON L6X 1M8,Guelph,(905) 230-2239,http://www.dolcezzacakes.com/,,YellowPages.ca,1,Unknown9,Unknown9@gmail.com
Marco's Bakery,3-3500 Fairview St Burlington ON L7N 2R5,Guelph,(905) 333-3733,http://www.marcosbakery.net/,,YellowPages.ca,1,Unknown10,Unknown10@gmail.com
Sweetness By Mandy,Brampton ON,Guelph,(905) 965-2483,,,YellowPages.ca,1,Unknown11,Unknown11@gmail.com
The Queen Street Bakery,47 Queen St W Brampton ON L6Y 1L9,Guelph,(905) 230-9225,,,YellowPages.ca,1,Unknown12,Unknown12@gmail.com
Aveiro Bakery,2530 Sixth Line Oakville ON L6H 6W5,Guelph,(289) 725-0338,https://www.aveirobakery.ca/,,YellowPages.ca,1,Unknown13,Unknown13@gmail.com
Lisboa Bakeries,131 Main St N Brampton ON L6X 1M9,Guelph,(905) 463-1508,http://www.lisboabakery.com/,,YellowPages.ca,1,Unknown14,Unknown14@gmail.com
Cristina's Bakery & Grill,131 Main St N Brampton ON L6X 1M9,Guelph,(905) 436-2091,,,YellowPages.ca,1,Unknown15,Unknown15@gmail.com
Cristina Bakery,131 Main St N Brampton ON L6X 1M9,Guelph,(905) 463-2091,http://www.cristinasbakerygrill.com/index.html,,YellowPages.ca,1,Unknown16,Unknown16@gmail.com
Nothing Bundt Cakes,3350 Fairview St Burlington ON L7N 3L5,Guelph,(289) 245-1211,https://www.nothingbundtcakes.com/,,YellowPages.ca,1,Unknown17,Unknown17@gmail.com
Nova Grill & Bakery,131 Main St N Brampton ON L6X 1M9,Guelph,(905) 454-6682,http://www.facebook.com/302056243632768,,YellowPages.ca,1,Unknown18,Unknown18@gmail.com
Living Sky Bakery,Brampton ON,Guelph,(289) 654-4388,,,YellowPages.ca,1,Unknown19,Unknown19@gmail.com
Peninsula Bakery,380 Bovaird Dr E Brampton ON L6Z 2S6,Guelph,(905) 451-7788,http://www.peninsulapantry.com.au/,,YellowPages.ca,1,Unknown20,Unknown20@gmail.com
That Cake Guy,88 Stillwater Cres Brampton ON L6X 3L4,Guelph,(647) 642-8969,https://www.facebook.com/thatcakeguyca/,,YellowPages.ca,1,Unknown21,Unknown21@gmail.com
Anna Mae's Bakery & Restaurant,4060 Perth Line 72 Millbank ON N0K 1L0,Guelph,(519) 595-4407,http://www.annamaes.ca/,,YellowPages.ca,1,Unknown22,Unknown22@gmail.com
Sweet Michi's Bakery,2384 Parkhaven Blvd Oakville ON L6H 0E7,Guelph,(289) 681-0964,http://sweetmichis.com/,,YellowPages.ca,1,Unknown23,Unknown23@gmail.com
Rosa's Grocery Store,83 John St Brampton ON L6W 1Z4,Guelph,(905) 497-7030,http://www.facebook.com/1626424777579693,,YellowPages.ca,1,Unknown24,Unknown24@gmail.com
Kikkra Bakery & Coffee Inc,201 River Oaks Blvd W Oakville ON L6H 3S7,Guelph,(905) 842-3534,,,YellowPages.ca,1,Unknown25,Unknown25@gmail.com
Donut Monster,246 Locke St S Hamilton ON L8P 4B9,Guelph,(289) 309-1108,http://www.facebook.com/189423997881511,,YellowPages.ca,1,Unknown26,Unknown26@gmail.com
The Cake Plate Diaries,2-18 Chambers Crt Brampton ON L6Z 1J1,Guelph,(647) 283-3759,https://www.facebook.com/Thecakeplatediaries/,,YellowPages.ca,1,Unknown27,Unknown27@gmail.com
Smoochie's Creations,3 Howell St Brampton ON L6Y 3J6,Guelph,(647) 295-8873,https://www.facebook.com/smoochiescreations/,,YellowPages.ca,1,Unknown28,Unknown28@gmail.com
Bubbles'N Bakery,63 Queen St S Mississauga ON L5M 3S9,Guelph,(905) 813-8388,http://www.bubblesnbakery.com/,,YellowPages.ca,1,Unknown29,Unknown29@gmail.com
Sweetness Bakery,196 Locke St S Hamilton ON L8P 4B4,Guelph,(289) 389-9785,,,YellowPages.ca,1,Unknown30,Unknown30@gmail.com
Red Moon Bakery,13-380 Bovaird Dr E Brampton ON L6Z 2S7,Guelph,(437) 984-1623,http://www.redmoons.ca/,,YellowPages.ca,1,Unknown31,Unknown31@gmail.com
The Chocolate Rose Bake Shop,Caledon ON,Guelph,(416) 565-0870,,,YellowPages.ca,1,Unknown32,Unknown32@gmail.com
Yummy Cakes 4 U,31-4600 Kimbermount Ave Mississauga ON L5M 6Z5,Guelph,(905) 782-5472,,,YellowPages.ca,1,Unknown33,Unknown33@gmail.com
Mysweetooth Üê8Üçìáîúáâô Gourmet Asian Fusion Ba kery Cafe,301 Main St W Hamilton ON L8P 1J7,Guelph,(365) 888-5686,,,YellowPages.ca,1,Unknown34,Unknown34@gmail.com
Monolicious,33 Queen St S Mississauga ON L5M 1K2,Guelph,(289) 400-7624,http://www.facebook.com/1073249776053029,,YellowPages.ca,1,Unknown35,Unknown35@gmail.com
